,publication_date,keywords_count
4,2020-03-05,577
5,2020-03-06,177
6,2020-03-07,257
7,2020-03-08,106
8,2020-03-09,427
9,2020-03-10,308
10,2020-03-11,582
11,2020-03-12,398
12,2020-03-13,633
13,2020-03-14,209
14,2020-03-15,377
15,2020-03-16,315
16,2020-03-17,814
17,2020-03-18,973
18,2020-03-19,709
19,2020-03-20,318
20,2020-03-21,370
21,2020-03-22,154
22,2020-03-23,549
23,2020-03-24,332
24,2020-03-25,630
25,2020-03-26,372
26,2020-03-27,710
27,2020-03-28,156
28,2020-03-29,229
29,2020-03-30,264
30,2020-03-31,516
31,2020-04-01,388
32,2020-04-02,340
33,2020-04-03,679
34,2020-04-04,131
35,2020-04-05,262
36,2020-04-06,850
37,2020-04-07,609
38,2020-04-08,282
39,2020-04-09,694
40,2020-04-10,255
41,2020-04-11,266
42,2020-04-12,106
43,2020-04-13,501
44,2020-04-14,365
45,2020-04-15,565
46,2020-04-16,367
47,2020-04-17,602
48,2020-04-18,170
49,2020-04-19,217
50,2020-04-20,187
51,2020-04-21,637
52,2020-04-22,282
53,2020-04-23,620
54,2020-04-24,273
55,2020-04-25,274
56,2020-04-26,107
57,2020-04-27,361
58,2020-04-28,395
59,2020-04-29,553
60,2020-04-30,232
61,2020-05-01,313
62,2020-05-02,132
63,2020-05-03,241
64,2020-05-04,211
65,2020-05-05,505
66,2020-05-06,267
67,2020-05-07,676
68,2020-05-08,267
69,2020-05-09,179
70,2020-05-10,135
71,2020-05-11,443
72,2020-05-12,287
73,2020-05-13,629
74,2020-05-14,278
75,2020-05-15,645
76,2020-05-16,115
77,2020-05-17,147
78,2020-05-18,247
79,2020-05-19,469
80,2020-05-20,318
81,2020-05-21,435
82,2020-05-22,245
83,2020-05-23,248
84,2020-05-24,91
85,2020-05-25,285
86,2020-05-26,208
87,2020-05-27,455
88,2020-05-28,266
89,2020-05-29,494
90,2020-05-30,96
91,2020-05-31,250
92,2020-06-01,280
93,2020-06-02,283
94,2020-06-03,568
95,2020-06-04,272
96,2020-06-05,581
97,2020-06-06,146
98,2020-06-07,214
99,2020-06-08,175
100,2020-06-09,489
101,2020-06-10,265
102,2020-06-11,590
103,2020-06-12,291
104,2020-06-13,266
105,2020-06-14,83
106,2020-06-15,349
107,2020-06-16,246
108,2020-06-17,507
109,2020-06-18,288
110,2020-06-19,489
111,2020-06-20,130
112,2020-06-21,228
113,2020-06-22,183
114,2020-06-23,614
115,2020-06-24,753
116,2020-06-25,482
117,2020-06-26,220
118,2020-06-27,266
119,2020-06-28,88
120,2020-06-29,1374
121,2020-06-30,264
122,2020-07-01,412
123,2020-07-02,237
124,2020-07-03,296
125,2020-07-04,90
126,2020-07-05,138
127,2020-07-06,296
128,2020-07-07,570
129,2020-07-08,296
130,2020-07-09,502
131,2020-07-10,246
132,2020-07-11,250
133,2020-07-12,99
134,2020-07-13,316
135,2020-07-14,280
136,2020-07-15,424
137,2020-07-16,217
138,2020-07-17,428
139,2020-07-18,98
140,2020-07-19,216
141,2020-07-20,211
142,2020-07-21,464
143,2020-07-22,190
144,2020-07-23,474
145,2020-07-24,232
146,2020-07-25,230
147,2020-07-26,61
148,2020-07-27,346
149,2020-07-28,204
150,2020-07-29,426
151,2020-07-30,234
152,2020-07-31,458
153,2020-08-01,11
