,publication_date,keyword_1,keyword_2,keyword_3
1718,2020-03-11T18:14:54+0000,Jazz,Shabaka and the Ancestors (Music Group),"Hutchings, Shabaka"
1719,2020-03-11T16:26:55+0000,your-feed-science,Coronavirus (2019-nCoV),Lungs
1720,2020-03-10T09:00:26+0000,Coronavirus (2019-nCoV),Nursing and Nurses,Nursing Homes
1721,2020-03-09T20:36:35+0000,Deaths (Obituaries),Real Estate and Housing (Residential),Rent Control and Stabilization
1722,2020-03-09T09:00:04+0000,Books and Literature,"Khashoggi, Jamal",Mohammed bin Salman (1985- )
1723,2020-03-09T22:40:03+0000,Presidential Election of 2020,"Sanders, Bernard",Black People
1724,2020-03-10T11:23:07+0000,Weights and Measures,Bobsledding,Gravitation and Gravity
1725,2020-03-09T07:00:11+0000,Presidential Election of 2020,Women and Girls,Vice Presidents and Vice Presidency (US)
1726,2020-03-09T22:14:22+0000,Banking and Financial Institutions,Fifth Third Bank,Consumer Financial Protection Bureau
1727,2020-03-09T15:16:50+0000,Espionage and Intelligence Services,Cyberattacks and Hackers,Classified Information and State Secrets
1728,2020-03-10T04:06:32+0000,Mexico,Women and Girls,"Demonstrations, Protests and Riots"
1729,2020-03-10T01:45:06+0000,Theater,Unknown Soldier (Play),"Goldstein, Daniel M (1975- )"
1730,2020-03-09T15:59:44+0000,Regulation and Deregulation of Industry,Banking and Financial Institutions,Coronavirus (2019-nCoV)
1731,2020-03-09T15:16:50+0000,Espionage and Intelligence Services,Cyberattacks and Hackers,Classified Information and State Secrets
1732,2020-03-09T17:36:31+0000,Economic Conditions and Trends,Recession and Depression,International Trade and World Market
1733,2020-03-09T15:10:14+0000,United States Defense and Military Forces,Terrorism,Islamic State in Iraq and Syria (ISIS)
1734,2020-03-10T11:23:07+0000,Weights and Measures,Bobsledding,Gravitation and Gravity
1735,2020-03-10T09:00:26+0000,Coronavirus (2019-nCoV),Nursing and Nurses,Nursing Homes
1736,2020-03-09T20:36:35+0000,Deaths (Obituaries),Real Estate and Housing (Residential),Rent Control and Stabilization
1737,2020-03-11T22:56:56+0000,Falsification of Data,Voter Registration and Requirements,"Hall, Cheryl A"
1738,2020-03-11T11:20:54+0000,Coronavirus (2019-nCoV),New York State,New York City
1739,2020-03-11T20:27:08+0000,Russia,"Putin, Vladimir V",Term Limits (Political Office)
1740,2020-03-11T08:48:40+0000,Poaching (Wildlife),Giraffes,Garissa (Kenya)
1741,2020-03-11T15:06:17+0000,Coronavirus (2019-nCoV),Democratic Party,House of Representatives
1742,2020-03-10T11:11:50+0000,Coronavirus (2019-nCoV),New York State,New York City
1743,2020-03-11T09:00:22+0000,Coronavirus (2019-nCoV),Elderly,House of Representatives
1744,2020-03-11T08:04:01+0000,Banking and Financial Institutions,Interest Rates,Government Bonds
1745,2020-03-09T15:16:50+0000,Espionage and Intelligence Services,Cyberattacks and Hackers,Classified Information and State Secrets
1746,2020-03-09T07:00:11+0000,Presidential Election of 2020,Women and Girls,Vice Presidents and Vice Presidency (US)
1747,2020-03-09T00:59:10+0000,Golf,Arnold Palmer Invitational (Golf),"Hatton, Tyrrell"
1748,2020-03-09T11:00:07+0000,"Booker, Cory A",Endorsements,"Biden, Joseph R Jr"
1749,2020-03-09T23:59:52+0000,Meditation,Yoga,Education (K-12)
1750,2020-03-09T09:00:26+0000,Tokyo (Japan),World War II (1939-45),United States Defense and Military Forces
1751,2020-03-10T15:00:04+0000,Watches and Clocks,Rolex SA,Zenith SA
1752,2020-03-11T02:57:12+0000,Endorsements,"Elections, Senate",Primaries and Caucuses
1753,2020-03-10T11:11:50+0000,Coronavirus (2019-nCoV),New York State,New York City
1754,2020-03-09T16:02:46+0000,Coronavirus (2019-nCoV),Port Authority of New York and New Jersey,"Cotton, Rick"
1755,2020-03-09T21:38:35+0000,Coronavirus (2019-nCoV),Quarantines,Tests (Medical)
1756,2020-03-09T09:00:25+0000,Jews and Judaism,Quarantines,PURIM
1757,2020-03-09T17:13:14+0000,Coronavirus (2019-nCoV),Cruises,Quarantines
1758,2020-03-09T23:45:01+0000,Egypt,Coronavirus (2019-nCoV),Travel and Vacations
1759,2020-03-11T23:14:11+0000,United States International Relations,Political Prisoners,Torture
1760,2020-03-11T19:41:34+0000,Politics and Government,Coronavirus (2019-nCoV),Presidential Election of 2020
1761,2020-03-11T09:00:29+0000,United States Economy,International Trade and World Market,Drugs (Pharmaceuticals)
1762,2020-03-09T22:47:43+0000,Women and Girls,Women's Rights,#MeToo Movement
1763,2020-03-09T11:14:14+0000,Presidential Election of 2020,Democratic Party,Primaries and Caucuses
1764,2020-03-09T18:58:17+0000,BAY CITY (MICH),BAY COUNTY (FLA),Labor and Jobs
1765,2020-03-09T20:17:05+0000,Mochidoki - The Premium Mochi Ice Cream Co,"SoHo (Manhattan, NY)",Shopping and Retail
1766,2020-03-10T11:17:16+0000,Automobiles,Coronavirus (2019-nCoV),Recession and Depression
1767,2020-03-10T09:00:23+0000,Russian Interference in 2016 US Elections and Ties to Trump Associates,Cyberwarfare and Defense,Presidential Election of 2020
1768,2020-03-11T04:01:07+0000,Heating,Politics and Government,Restaurants
1769,2020-03-11T00:07:37+0000,Surveillance of Citizens by Government,Civil Rights and Liberties,Privacy
1770,2020-03-09T20:32:58+0000,Restaurants,Poultry,"TAK Room (Manhattan, NY, Restaurant)"
1771,2020-03-09T00:59:10+0000,Golf,Arnold Palmer Invitational (Golf),"Hatton, Tyrrell"
1772,2020-03-11T14:51:11+0000,Real Estate and Housing (Residential),Charlottesville (Va),Miami Beach (Fla)
1773,2020-03-10T09:00:18+0000,Books and Literature,You Will Never Be Forgotten: Stories (Book),"South, Mary"
1774,2020-03-11T17:23:40+0000,Furniture,Art,Design
1775,2020-03-11T19:37:35+0000,"Trump, Donald J",Coronavirus (2019-nCoV),Hurricane Katrina (2005)
1776,2020-03-10T23:45:36+0000,Horse Racing,Doping (Sports),Regulation and Deregulation of Industry
1777,2020-03-11T17:52:20+0000,Economic Conditions and Trends,Coronavirus (2019-nCoV),Bank of England
1778,2020-03-10T11:11:50+0000,Coronavirus (2019-nCoV),New York State,New York City
1779,2020-03-11T02:57:12+0000,Endorsements,"Elections, Senate",Primaries and Caucuses
1780,2020-03-11T17:23:40+0000,Furniture,Art,Design
1781,2020-03-09T22:35:08+0000,"Coppola, Anton (1917- )",Deaths (Obituaries),Opera
1782,2020-03-09T17:54:04+0000,Cooking and Cookbooks,Indian Food (Cuisine),Indian-Americans
1783,2020-03-11T19:37:35+0000,"Trump, Donald J",Coronavirus (2019-nCoV),Hurricane Katrina (2005)
1784,2020-03-10T23:45:36+0000,Horse Racing,Doping (Sports),Regulation and Deregulation of Industry
1785,2020-03-11T17:52:20+0000,Economic Conditions and Trends,Coronavirus (2019-nCoV),Bank of England
1786,2020-03-10T09:00:35+0000,Art,Black People,Museums
1787,2020-03-10T09:00:07+0000,Books and Literature,"Shubin, Neil H","Jennings, Ken"
1788,2020-03-11T14:27:09+0000,Art,Museums,Water Pollution
1789,2020-03-09T09:00:25+0000,Jews and Judaism,Quarantines,PURIM
1790,2020-03-09T15:23:52+0000,"Trump, Donald J",Stocks and Bonds,Coronavirus (2019-nCoV)
1791,2020-03-11T18:32:23+0000,Supreme Court (US),Immigration and Emigration,Illegal Immigration
1792,2020-03-11T23:14:11+0000,United States International Relations,Political Prisoners,Torture
1793,2020-03-11T22:56:56+0000,Falsification of Data,Voter Registration and Requirements,"Hall, Cheryl A"
1794,2020-03-11T11:20:54+0000,Coronavirus (2019-nCoV),New York State,New York City
1795,2020-03-09T23:45:01+0000,Egypt,Coronavirus (2019-nCoV),Travel and Vacations
1796,2020-03-09T17:13:14+0000,Coronavirus (2019-nCoV),Cruises,Quarantines
1797,2020-03-11T20:27:08+0000,Russia,"Putin, Vladimir V",Term Limits (Political Office)
1798,2020-03-11T08:48:40+0000,Poaching (Wildlife),Giraffes,Garissa (Kenya)
1799,2020-03-11T16:26:55+0000,your-feed-science,Coronavirus (2019-nCoV),Lungs
1800,2020-03-09T09:00:04+0000,Books and Literature,"Khashoggi, Jamal",Mohammed bin Salman (1985- )
1801,2020-03-09T22:40:03+0000,Presidential Election of 2020,"Sanders, Bernard",Black People
1802,2020-03-09T20:25:49+0000,Children and Childhood,Coronavirus (2019-nCoV),Hygiene and Cleanliness
1803,2020-03-10T20:46:24+0000,Travel and Vacations,Coronavirus (2019-nCoV),Quarantines
1804,2020-03-11T20:39:09+0000,Basketball (College),Coronavirus (2019-nCoV),Colleges and Universities
1805,2020-03-10T15:44:21+0000,Sidewalk Labs,Google Inc,Toronto (Ontario)
1806,2020-03-10T09:00:06+0000,Books and Literature,"Fowler, Therese Anne",A Good Neighborhood (Book)
1807,2020-03-10T22:30:03+0000,Coronavirus (2019-nCoV),International Trade and World Market,United States Economy
1808,2020-03-10T09:00:16+0000,Basketball (College),University of Connecticut,"Auriemma, Geno"
1809,2020-03-10T09:00:27+0000,Coronavirus (2019-nCoV),Epidemics,Movies
1810,2020-03-10T15:34:54+0000,Capital Punishment,Food,United States
1811,2020-03-10T15:30:11+0000,Cruises,ADVERTISING AND MARKETING,Coronavirus (2019-nCoV)
1812,2020-03-10T22:57:55+0000,Russia,Oil (Petroleum) and Gasoline,"Putin, Vladimir V"
1813,2020-03-11T07:00:07+0000,Barbers and Barbering,Beauty Salons,Homosexuality and Bisexuality
1814,2020-03-10T22:18:42+0000,Coronavirus (2019-nCoV),Quarantines,Italy
1815,2020-03-09T09:00:17+0000,ACQUIRED IMMUNE DEFICIENCY SYNDROME,"Brown, Timothy Ray",Immunotherapy
1816,2020-03-09T17:49:42+0000,Oil (Petroleum) and Gasoline,"Prices (Fares, Fees and Rates)",Coronavirus (2019-nCoV)
1817,2020-03-09T20:02:43+0000,Embargoes and Sanctions,Defense and Military Forces,Nuclear Tests
1818,2020-03-10T09:00:05+0000,Medical Schools,Homosexuality and Bisexuality,Medicine and Health
1819,2020-03-10T11:14:15+0000,Primaries and Caucuses,Democratic Party,"Biden, Joseph R Jr"
1820,2020-03-10T01:45:06+0000,Theater,"Cannold, Sammi",New York Theater Workshop
1821,2020-03-09T16:27:26+0000,Pop and Rock Music,Rap and Hip-Hop,Lil Baby (Rapper)
1822,2020-03-09T09:00:21+0000,Vaccination and Immunization,Coronavirus (2019-nCoV),"Trump, Donald J"
1823,2020-03-10T03:54:13+0000,Coronavirus (2019-nCoV),"Trump, Donald J",Saudi Arabia
1824,2020-03-09T17:05:06+0000,Coronavirus (2019-nCoV),Food and Drug Administration,Federal Trade Commission
1825,2020-03-09T20:22:07+0000,Presidential Election of 2020,Law and Legislation,Primaries and Caucuses
1826,2020-03-09T22:11:57+0000,United States Politics and Government,Health Insurance and Managed Care,Patient Protection and Affordable Care Act (2010)
1827,2020-03-09T19:42:50+0000,Stocks and Bonds,Personal Finances,Asset Allocation (Personal Finances)
1828,2020-03-10T09:13:53+0000,New York City,Coronavirus (2019-nCoV),"de Blasio, Bill"
1829,2020-03-10T15:59:03+0000,Coronavirus (2019-nCoV),Education (K-12),Science and Technology
1830,2020-03-09T12:14:20+0000,"Kassenova, Nazira",ALMATY (KAZAKHSTAN),Kazakhstan
1831,2020-03-10T19:45:21+0000,Flowers and Plants,Therapy and Rehabilitation,Disabilities
1832,2020-03-10T10:59:36+0000,Coronavirus (2019-nCoV),Banking and Financial Institutions,World Health Organization
1833,2020-03-11T11:00:03+0000,ALCOHOLICS ANONYMOUS,ALCOHOL ABUSE,Research
1834,2020-03-11T03:21:31+0000,"Biden, Joseph R Jr",Presidential Election of 2020,Primaries and Caucuses
1835,2020-03-11T09:00:24+0000,Grandparents,Travel and Vacations,"National Parks, Monuments and Seashores"
1836,2020-03-11T22:54:10+0000,Presidential Election of 2020,"Sanders, Bernard","Biden, Joseph R Jr"
1837,2020-03-11T16:11:43+0000,Presidential Election of 2020,United States Politics and Government,Primaries and Caucuses
1838,2020-03-11T09:00:16+0000,Coronavirus (2019-nCoV),United States Economy,Banking and Financial Institutions
1839,2020-03-10T09:00:35+0000,Women and Girls,Fashion and Apparel,Lingerie and Underwear
1840,2020-03-11T17:32:44+0000,"Neely, Barbara (1941-2020)",Deaths (Obituaries),Writing and Writers
1841,2020-03-10T22:30:27+0000,Workplace Environment,Computers and the Internet,ARTIFICIAL INTELLIGENCE
1842,2020-03-10T09:00:13+0000,Budgets and Budgeting,"Cuomo, Andrew M",Medicaid
1843,2020-03-10T17:57:57+0000,"Lucas, Quinton",Primaries and Caucuses,Kansas City (Mo)
1844,2020-03-10T09:00:33+0000,"Dingell, Deborah",House of Representatives,"Elections, House of Representatives"
1845,2020-03-10T17:00:11+0000,Health Insurance and Managed Care,Consumer Protection,Regulation and Deregulation of Industry
1846,2020-03-09T21:20:04+0000,Cooking and Cookbooks,Noodles,Soups
1847,2020-03-10T23:54:46+0000,AIRLINES AND AIRPLANES,Coronavirus (2019-nCoV),Executive Compensation
1848,2020-03-10T09:00:14+0000,Skiing,Travel and Vacations,Aspen (Colo)
1849,2020-03-10T09:00:40+0000,Real Estate and Housing (Residential),Interior Design and Furnishings,Home Repairs and Improvements
1850,2020-03-11T19:30:19+0000,Fashion and Apparel,"Nguyen, Nga",Coronavirus (2019-nCoV)
1851,2020-03-11T09:00:31+0000,Furniture,Shopping and Retail,Interior Design and Furnishings
1852,2020-03-10T09:00:12+0000,Books and Literature,"Nguyen, Kevin",New Waves (Book)
1853,2020-03-10T09:00:10+0000,Health Insurance and Managed Care,Politics and Government,Law and Legislation
1854,2020-03-10T03:54:13+0000,Coronavirus (2019-nCoV),"Trump, Donald J",Saudi Arabia
1855,2020-03-09T20:02:43+0000,Embargoes and Sanctions,Defense and Military Forces,Nuclear Tests
1856,2020-03-10T09:00:05+0000,Medical Schools,Homosexuality and Bisexuality,Medicine and Health
1857,2020-03-10T11:14:15+0000,Primaries and Caucuses,Democratic Party,"Biden, Joseph R Jr"
1858,2020-03-09T16:27:26+0000,Pop and Rock Music,Rap and Hip-Hop,Lil Baby (Rapper)
1859,2020-03-10T01:45:06+0000,Theater,"Cannold, Sammi",New York Theater Workshop
1860,2020-03-09T09:00:16+0000,Tokyo (Japan),United States Defense and Military Forces,World War II (1939-45)
1861,2020-03-09T09:00:21+0000,Vaccination and Immunization,Coronavirus (2019-nCoV),"Trump, Donald J"
1862,2020-03-10T15:22:09+0000,My Dark Vanessa (Book),"Russell, Kate Elizabeth",Books and Literature
1863,2020-03-09T22:11:57+0000,United States Politics and Government,Health Insurance and Managed Care,Patient Protection and Affordable Care Act (2010)
1864,2020-03-09T20:22:07+0000,Presidential Election of 2020,Law and Legislation,Primaries and Caucuses
1865,2020-03-10T09:00:15+0000,Religion and Belief,Coronavirus (2019-nCoV),Prayers and Prayer Books
1866,2020-03-09T17:49:42+0000,Oil (Petroleum) and Gasoline,"Prices (Fares, Fees and Rates)",Coronavirus (2019-nCoV)
1867,2020-03-11T11:18:34+0000,Presidential Election of 2020,"Biden, Joseph R Jr","Sanders, Bernard"
1868,2020-03-10T17:00:08+0000,"Parker, Eny Lee",Ceramics and Pottery,Tables
1869,2020-03-11T09:00:24+0000,Design,ARCHITECTURE,Interior Design and Furnishings
1870,2020-03-11T14:30:01+0000,Cooking and Cookbooks,Dinner in French: My Recipes by Way of France (Book),"Clark, Melissa"
1871,2020-03-09T21:26:08+0000,Italy,Coronavirus (2019-nCoV),Quarantines
1872,2020-03-09T19:29:14+0000,Shortages,Protective Clothing and Gear,Masks
1873,2020-03-10T00:11:00+0000,United States Politics and Government,Shutdowns (Institutional),Coronavirus (2019-nCoV)
1874,2020-03-11T11:00:03+0000,ALCOHOLICS ANONYMOUS,ALCOHOL ABUSE,Research
1875,2020-03-11T22:54:10+0000,Presidential Election of 2020,"Sanders, Bernard","Biden, Joseph R Jr"
1876,2020-03-11T03:21:31+0000,"Biden, Joseph R Jr",Presidential Election of 2020,Primaries and Caucuses
1877,2020-03-10T09:00:33+0000,"Dingell, Deborah",House of Representatives,"Elections, House of Representatives"
1878,2020-03-10T19:45:21+0000,Flowers and Plants,Therapy and Rehabilitation,Disabilities
1879,2020-03-10T09:00:14+0000,Skiing,Travel and Vacations,Aspen (Colo)
1880,2020-03-10T09:00:13+0000,Budgets and Budgeting,"Cuomo, Andrew M",Medicaid
1881,2020-03-10T19:08:31+0000,Books and Literature,"King, Lily (1963- )",Writers & Lovers: A Novel (Book)
1882,2020-03-09T20:07:41+0000,Pop and Rock Music,Copyrights and Copyright Violations,Led Zeppelin
1883,2020-03-10T09:00:16+0000,Basketball (College),University of Connecticut,"Auriemma, Geno"
1884,2020-03-10T09:00:27+0000,Coronavirus (2019-nCoV),Epidemics,Movies
1885,2020-03-11T01:45:05+0000,Theater,"Bonney, Jo","Bettis, Hilary"
1886,2020-03-11T15:00:13+0000,Fashion and Apparel,"Ford, Tom","Boss, Hugo, Fashions Inc"
1887,2020-03-09T13:42:39+0000,Electronic Health Records,Mobile Applications,Privacy
1888,2020-03-10T22:30:03+0000,Coronavirus (2019-nCoV),International Trade and World Market,United States Economy
1889,2020-03-10T09:00:13+0000,Reality Television,Love Is Blind (TV Program),Netflix Inc
1890,2020-03-10T22:57:55+0000,Russia,Oil (Petroleum) and Gasoline,"Putin, Vladimir V"
1891,2020-03-11T07:00:07+0000,Barbers and Barbering,Beauty Salons,Homosexuality and Bisexuality
1892,2020-03-10T22:18:42+0000,Coronavirus (2019-nCoV),Quarantines,Italy
1893,2020-03-11T01:32:17+0000,Coronavirus (2019-nCoV),Tests (Medical),Epidemics
1894,2020-03-10T15:34:54+0000,Capital Punishment,Food,United States
1895,2020-03-10T15:30:11+0000,Cruises,ADVERTISING AND MARKETING,Coronavirus (2019-nCoV)
1896,2020-03-11T17:03:53+0000,Restaurants,"Feinstein's/54 Below (Manhattan, NY, Music Venue)","& Sons (Brooklyn, NY, Restaurant)"
1897,2020-03-11T09:59:54+0000,Coronavirus (2019-nCoV),Seattle (Wash),Pacific Northwestern States (US)
1898,2020-03-09T17:26:14+0000,Coronavirus (2019-nCoV),Quarantines,Education (K-12)
1899,2020-03-11T21:27:52+0000,Presidential Election of 2020,Black People,Primaries and Caucuses
1900,2020-03-10T16:05:28+0000,"Weinstein, Harvey",Sexual Harassment,Sex Crimes
1901,2020-03-09T09:00:15+0000,Presidential Election of 2016,Presidential Election of 2020,Women and Girls
1902,2020-03-09T23:00:06+0000,Presidential Election of 2020,United States Politics and Government,Primaries and Caucuses
1903,2020-03-09T05:43:14+0000,Religious Cults,Coronavirus (2019-nCoV),Politics and Government
1904,2020-03-11T09:00:17+0000,State Legislatures,Voter Registration and Requirements,Redistricting and Reapportionment
1905,2020-03-10T22:00:07+0000,"Biden, Joseph R Jr","Sanders, Bernard",Democratic Party
1906,2020-03-10T15:00:06+0000,Quarantines,Coronavirus (2019-nCoV),Income Inequality
1907,2020-03-10T11:45:40+0000,Coronavirus (2019-nCoV),Swine Influenza,Epidemics
1908,2020-03-10T09:00:19+0000,Presidential Election of 2020,Primaries and Caucuses,"Biden, Joseph R Jr"
1909,2020-03-11T01:51:02+0000,"Biden, Joseph R Jr","Sanders, Bernard",Democratic Party
1910,2020-03-11T14:15:13+0000,Art,Manhattan (NYC),"Cooper, Paula, Gallery"
1911,2020-03-11T09:27:55+0000,Work-Life Balance,Women and Girls,Dakar (Senegal)
1912,2020-03-11T01:51:02+0000,"Biden, Joseph R Jr","Sanders, Bernard",Democratic Party
1913,2020-03-10T16:05:28+0000,"Weinstein, Harvey",Sexual Harassment,Sex Crimes
1914,2020-03-11T19:30:19+0000,Fashion and Apparel,"Nguyen, Nga",Coronavirus (2019-nCoV)
1915,2020-03-10T10:55:26+0000,Coronavirus (2019-nCoV),Politics and Government,Propaganda
1916,2020-03-10T21:33:58+0000,Elections,Presidential Election of 2020,Primaries and Caucuses
1917,2020-03-11T09:59:54+0000,Coronavirus (2019-nCoV),Seattle (Wash),Pacific Northwestern States (US)
1918,2020-03-09T17:26:14+0000,Coronavirus (2019-nCoV),Quarantines,Education (K-12)
1919,2020-03-09T09:00:40+0000,"Castillejo, Adam",ACQUIRED IMMUNE DEFICIENCY SYNDROME,London (England)
1920,2020-03-11T09:00:20+0000,Theater,ACTORS AND ACTRESSES,Coronavirus (2019-nCoV)
1921,2020-03-12T23:39:19+0000,Coronavirus (2019-nCoV),Democratic Party,House of Representatives
1922,2020-03-11T22:47:41+0000,Coronavirus (2019-nCoV),Quarantines,Multidisciplinary drifting Observatory for the Study of Arctic Climate (MOSAiC)
1923,2020-03-12T09:00:29+0000,Pop and Rock Music,Rap and Hip-Hop,Coronavirus (2019-nCoV)
1924,2020-03-12T09:02:15+0000,Teenagers and Adolescence,Politics and Government,Discrimination
1925,2020-03-11T09:00:09+0000,Athletics and Sports,Coaches and Managers,Interscholastic Athletics
1926,2020-03-11T09:00:21+0000,Quarantines,Coronavirus (2019-nCoV),United States
1927,2020-03-12T23:40:09+0000,Coronavirus (2019-nCoV),Quarantines,Tests (Medical)
1928,2020-03-13T00:44:01+0000,Coronavirus (2019-nCoV),Epidemics,"Trump, Donald J"
1929,2020-03-13T11:35:01+0000,Refugees and Displaced Persons,Smuggling,"Kurdi, Aylan (2011-15)"
1930,2020-03-12T21:00:04+0000,Pop and Rock Music,Jazz,New York City
1931,2020-03-11T14:54:20+0000,"Trump, Donald J",Coronavirus (2019-nCoV),Travel and Vacations
1932,2020-03-11T19:43:58+0000,Coronavirus (2019-nCoV),United States Economy,Stocks and Bonds
1933,2020-03-12T13:00:36+0000,"Trump, Donald J","Schumer, Charles E","Pelosi, Nancy"
1934,2020-03-11T12:52:36+0000,"Weinstein, Harvey",Sex Crimes,Sexual Harassment
1935,2020-03-12T09:00:24+0000,Coronavirus (2019-nCoV),New York City,New York State
1936,2020-03-11T14:30:06+0000,Art,"Casals, Gonzalo",Cultural Affairs Department
1937,2020-03-12T09:58:12+0000,Coronavirus (2019-nCoV),"McNeil, Donald G Jr",China
1938,2020-03-11T12:56:58+0000,California,Coronavirus (2019-nCoV),Hygiene and Cleanliness
1939,2020-03-11T22:20:12+0000,Presidential Election of 2020,Epidemics,"Biden, Joseph R Jr"
1940,2020-03-12T19:17:41+0000,Coronavirus (2019-nCoV),Senses and Sensation,Travel and Vacations
1941,2020-03-12T18:30:27+0000,Coronavirus (2019-nCoV),Epidemics,Quarantines
1942,2020-03-11T09:00:31+0000,Hippies,Gardens and Gardening,Home Repairs and Improvements
1943,2020-03-12T13:00:36+0000,"Trump, Donald J","Schumer, Charles E","Pelosi, Nancy"
1944,2020-03-11T14:30:06+0000,Art,"Casals, Gonzalo",Cultural Affairs Department
1945,2020-03-11T12:52:36+0000,"Weinstein, Harvey",Sex Crimes,Sexual Harassment
1946,2020-03-12T09:58:12+0000,Coronavirus (2019-nCoV),"McNeil, Donald G Jr",China
1947,2020-03-11T12:56:58+0000,California,Coronavirus (2019-nCoV),Hygiene and Cleanliness
1948,2020-03-12T09:00:24+0000,Coronavirus (2019-nCoV),New York City,New York State
1949,2020-03-12T16:20:15+0000,Presidential Election of 2020,Democratic Party,Debates (Political)
1950,2020-03-12T11:00:08+0000,Documentary Films and Programs,Veterinary Medicine,"Meehl, Cindy"
1951,2020-03-12T18:50:58+0000,New Rochelle (NY),Coronavirus (2019-nCoV),Quarantines
1952,2020-03-12T04:00:10+0000,Muslims and Islam,Discrimination,"Demonstrations, Protests and Riots"
1953,2020-03-12T09:00:29+0000,Books and Literature,"Crichton, Michael","Cronin, Justin"
1954,2020-03-12T12:25:08+0000,Movies,"Perez, Rosie",Inside the Rain (Movie)
1955,2020-03-12T11:00:06+0000,Movies,"Potter, Sally","Bardem, Javier"
1956,2020-03-13T15:42:42+0000,Shoes and Boots,Bally Schuhfabriken AG,Missoni
1957,2020-03-12T16:46:01+0000,Jews and Judaism,ARABS,Politics and Government
1958,2020-03-11T15:05:47+0000,Movies,The Hunt (Movie),"Zobel, R Craig"
1959,2020-03-11T14:11:17+0000,France,Courts and the Judiciary,Decisions and Verdicts
1960,2020-03-12T01:34:57+0000,Presidential Election of 2020,Russian Interference in 2016 US Elections and Ties to Trump Associates,Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry
1961,2020-03-11T21:07:20+0000,Surveillance of Citizens by Government,Russian Interference in 2016 US Elections and Ties to Trump Associates,United States Politics and Government
1962,2020-03-11T18:28:49+0000,Coronavirus (2019-nCoV),Basketball,Golden State Warriors
1963,2020-03-11T21:47:51+0000,"Suleimani, Qassim",Iran,War Powers Act (1973)
1964,2020-03-11T22:07:21+0000,Presidential Election of 2020,"Warren, Elizabeth","Sanders, Bernard"
1965,2020-03-12T13:00:20+0000,Real Estate and Housing (Residential),"Williamsburg (Brooklyn, NY)","Jackson Heights (Queens, NY)"
1966,2020-03-11T14:54:20+0000,"Trump, Donald J",Coronavirus (2019-nCoV),Travel and Vacations
1967,2020-03-12T13:30:05+0000,Real Estate and Housing (Residential),"Greenwich Village (Manhattan, NY)",Ohio
1968,2020-03-11T19:43:58+0000,Coronavirus (2019-nCoV),United States Economy,Stocks and Bonds
1969,2020-03-11T09:00:31+0000,Samsung Group,Smartphones,Batteries
1970,2020-03-11T13:30:20+0000,Real Estate and Housing (Residential),Luxembourg,Europe
1971,2020-03-11T22:44:41+0000,Soccer,Liverpool (Soccer Team),Atletico Madrid (Soccer Team)
1972,2020-03-12T09:00:16+0000,AMUSEMENT AND THEME PARKS,Travel and Vacations,Coronavirus (2019-nCoV)
1973,2020-03-11T16:00:15+0000,AMBER,Dinosaurs,Birds
1974,2020-03-12T20:41:10+0000,International Trade and World Market,United States International Relations,European Union
1975,2020-03-11T14:08:59+0000,Art,"Toor, Salman (1983- )",Whitney Museum of American Art
1976,2020-03-12T04:00:10+0000,Muslims and Islam,Discrimination,"Demonstrations, Protests and Riots"
1977,2020-03-12T16:58:37+0000,AIRLINES AND AIRPLANES,Coronavirus (2019-nCoV),JetBlue Airways Corporation
1978,2020-03-12T12:25:08+0000,Movies,"Perez, Rosie",Inside the Rain (Movie)
1979,2020-03-12T23:39:19+0000,Coronavirus (2019-nCoV),Democratic Party,House of Representatives
1980,2020-03-11T22:47:41+0000,Coronavirus (2019-nCoV),Quarantines,Multidisciplinary drifting Observatory for the Study of Arctic Climate (MOSAiC)
1981,2020-03-12T09:00:29+0000,Pop and Rock Music,Rap and Hip-Hop,Coronavirus (2019-nCoV)
1982,2020-03-12T16:46:01+0000,Jews and Judaism,ARABS,Politics and Government
1983,2020-03-13T15:42:42+0000,Shoes and Boots,Bally Schuhfabriken AG,Missoni
1984,2020-03-12T11:00:06+0000,Movies,"Potter, Sally","Bardem, Javier"
1985,2020-03-12T22:45:30+0000,Coronavirus (2019-nCoV),Basketball,Basketball (College)
1986,2020-03-12T09:02:15+0000,Teenagers and Adolescence,Politics and Government,Discrimination
1987,2020-03-12T11:00:06+0000,Crispr (DNA),Documentary Films and Programs,Human Nature (Movie)
1988,2020-03-11T09:00:09+0000,Coronavirus (2019-nCoV),Teenagers and Adolescence,Anxiety and Stress
1989,2020-03-11T09:57:48+0000,"Biden, Joseph R Jr","Sanders, Bernard",Democratic Party
1990,2020-03-11T16:04:28+0000,Jury System,Decisions and Verdicts,Sexual Harassment
1991,2020-03-11T00:05:57+0000,Coronavirus (2019-nCoV),Stadiums and Arenas,Baseball
1992,2020-03-11T22:07:21+0000,Presidential Election of 2020,"Warren, Elizabeth","Sanders, Bernard"
1993,2020-03-11T14:11:17+0000,France,Courts and the Judiciary,Decisions and Verdicts
1994,2020-03-12T16:12:57+0000,Travel Warnings,AIRLINES AND AIRPLANES,AMERICANS ABROAD
1995,2020-03-12T01:15:18+0000,Coronavirus (2019-nCoV),"Hanks, Tom","Wilson, Rita"
1996,2020-03-13T03:24:23+0000,Coronavirus (2019-nCoV),"Trudeau, Justin",Canada
